Invoice_ID,Client_Name,Region,Invoice_Amount,Payment_Status,Due_Date,Payment_Date,Delay_Days
INV0001,XYZ Corp,East,3840,Pending,2024-02-22,,
INV0002,Omega Inc,West,14268,Paid,2024-02-21,2024-02-27,6.0
INV0003,Omega Inc,West,7671,Pending,2024-01-20,,
INV0004,XYZ Corp,West,49865,Pending,2024-01-26,,
INV0005,ABC Pvt Ltd,South,8430,Pending,2024-01-16,,
INV0006,Omega Inc,West,31907,Paid,2024-01-03,2024-01-10,7.0
INV0007,Alpha Co,West,47395,Pending,2024-01-29,,
INV0008,Delta Ltd,South,39752,Pending,2024-02-26,,
INV0009,XYZ Corp,West,5384,Paid,2024-02-02,2024-02-02,0.0
INV0010,Delta Ltd,North,7833,Pending,2024-01-30,,
INV0011,Delta Ltd,South,15058,Paid,2024-01-18,2024-01-15,-3.0
INV0012,Delta Ltd,South,36517,Paid,2024-01-07,2024-01-16,9.0
INV0013,Omega Inc,South,34675,Pending,2024-02-05,,
INV0014,ABC Pvt Ltd,West,11641,Pending,2024-01-08,,
INV0015,Alpha Co,South,3903,Pending,2024-01-16,,
INV0016,Delta Ltd,West,17062,Pending,2024-02-29,,
INV0017,Omega Inc,West,25977,Pending,2024-01-23,,
INV0018,Delta Ltd,North,25091,Pending,2024-02-20,,
INV0019,Omega Inc,South,27584,Paid,2024-02-25,2024-03-04,8.0
INV0020,XYZ Corp,North,25096,Paid,2024-02-19,2024-02-23,4.0
INV0021,Alpha Co,East,42527,Pending,2024-02-04,,
INV0022,Alpha Co,East,40620,Pending,2024-02-09,,
INV0023,Omega Inc,South,32750,Pending,2024-02-27,,
INV0024,ABC Pvt Ltd,West,41910,Paid,2024-02-25,2024-02-23,-2.0
INV0025,Alpha Co,East,26057,Paid,2024-01-11,2024-01-15,4.0
INV0026,Alpha Co,North,26911,Paid,2024-02-27,2024-02-24,-3.0
INV0027,ABC Pvt Ltd,South,36260,Pending,2024-01-11,,
INV0028,Delta Ltd,South,34668,Paid,2024-02-27,2024-02-27,0.0
INV0029,Alpha Co,North,25244,Paid,2024-02-19,2024-02-22,3.0
INV0030,XYZ Corp,North,47514,Paid,2024-01-12,2024-01-14,2.0
INV0031,Omega Inc,South,7905,Paid,2024-01-26,2024-01-24,-2.0
INV0032,XYZ Corp,West,2681,Paid,2024-02-20,2024-02-22,2.0
INV0033,ABC Pvt Ltd,South,39817,Paid,2024-01-11,2024-01-10,-1.0
INV0034,XYZ Corp,South,41855,Pending,2024-01-12,,
INV0035,Omega Inc,East,36554,Pending,2024-01-05,,
INV0036,ABC Pvt Ltd,South,43259,Pending,2024-02-26,,
INV0037,Omega Inc,West,44065,Pending,2024-02-18,,
INV0038,Delta Ltd,West,25007,Pending,2024-01-26,,
INV0039,ABC Pvt Ltd,West,12227,Paid,2024-02-01,2024-02-01,0.0
INV0040,Alpha Co,South,34513,Paid,2024-01-27,2024-01-22,-5.0
INV0041,Omega Inc,North,22803,Pending,2024-02-14,,
INV0042,XYZ Corp,South,9565,Paid,2024-01-31,2024-02-04,4.0
INV0043,Delta Ltd,South,15413,Paid,2024-02-19,2024-02-27,8.0
INV0044,Omega Inc,East,17201,Pending,2024-02-16,,
INV0045,Alpha Co,South,22511,Paid,2024-01-03,2024-01-12,9.0
INV0046,XYZ Corp,North,34056,Pending,2024-01-07,,
INV0047,ABC Pvt Ltd,South,31900,Paid,2024-01-10,2024-01-19,9.0
INV0048,Omega Inc,North,16667,Paid,2024-02-01,2024-02-04,3.0
INV0049,ABC Pvt Ltd,North,11248,Paid,2024-02-01,2024-02-09,8.0
INV0050,Omega Inc,East,24228,Paid,2024-02-23,2024-03-03,9.0
INV0051,Omega Inc,East,32112,Pending,2024-01-16,,
INV0052,Omega Inc,North,3701,Paid,2024-02-08,2024-02-16,8.0
INV0053,Delta Ltd,East,18949,Paid,2024-01-06,2024-01-01,-5.0
